typhoon_name,grid_point_id,typhoon_year_x,wind_speed,track_distance,total_buildings_x,total_buildings_damaged,perc_dmg_grid,typhoon_year_y,rainfall_max_6h,rainfall_max_24h,Centroid,IWI,total_buildings,id,with_coast,coast_length,mean_altitude,mean_slope
TOMAS,456,2010,12.035213984431945,286.6925732545036,0.0,0.0,0.0,2010,0.0,0.0,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
EVAN,456,2012,41.52651983817688,52.01850328038209,213.0,437.6666666666667,0.0028329846445236,2012,0.55,0.24375,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
WINSTON,456,2016,53.357850603440426,39.2491269250757,213.0,7735.0,0.0500680949551954,2016,0.5750000000000001,0.1583333333333333,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
GITA,456,2018,0.0,440.9745155137433,0.0,0.0,0.0,2018,0.0,0.0,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
SARAI,456,2019,20.30927565760697,133.17236202743098,213.0,11.333333333333334,7.335984608819846e-05,2019,10.508333333333333,3.4333333333333336,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
TINO,456,2020,6.658014926724229,301.09959828918727,213.0,0.0,0.0,2020,0.65,0.21875,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
HAROLD,456,2020,20.663487898867377,122.60227514680363,213.0,195.0,0.0012622208812234,2020,2.0,0.8104166666666667,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
YASA,456,2020,19.055154988294856,157.40929065456152,213.0,47.0,0.0003042275970128,2020,1.5916666666666668,0.5020833333333333,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
ANA,456,2021,19.993093110235517,65.95036402593485,213.0,248.0,0.0016052860438123,2021,5.333333333333333,2.4916666666666667,176.95E_-17.15N,86.0,213,456,1,30905.368529732736,0.0,0.0
TOMAS,561,2010,11.908471415778656,272.25167863736067,0.0,0.0,0.0,2010,0.0249999999999999,0.0062499999999999,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
EVAN,561,2012,48.05050428910273,19.34047112718036,332.0,437.6666666666667,0.158259293284303,2012,0.0333333333333333,0.0083333333333333,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
WINSTON,561,2016,34.29098724977317,5.799217203989396,332.0,372.0,0.1345143726620579,2016,0.025,0.00625,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
GITA,561,2018,0.0,395.1898275341231,0.0,0.0,0.0,2018,0.0,0.0,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
SARAI,561,2019,23.979525946510584,134.25594182917598,332.0,11.333333333333334,0.0040981081276971,2019,8.15,4.11875,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
TINO,561,2020,0.0,335.6067229254932,332.0,0.0,0.0,2020,0.175,0.0854166666666666,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
HAROLD,561,2020,29.187637727899038,88.14455767281414,332.0,519.0,0.1876692457301293,2020,2.658333333333333,1.1791666666666667,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
YASA,561,2020,14.974704125605912,191.2900603561177,0.0,0.0,0.0,2020,0.4833333333333333,0.2291666666666666,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
ANA,561,2021,20.98788500140469,106.14381054578534,332.0,11.0,0.003977575535706,2021,5.291666666666667,2.5625,177.05E_-17.55N,76.1,332,561,1,21225.90022385432,0.0,0.0
TOMAS,562,2010,11.69094472845758,272.2516769078721,0.0,0.0,0.0,2010,0.0083333333333333,0.0020833333333333,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
EVAN,562,2012,50.44273693739318,15.292862075542445,233.0,437.6666666666667,0.1110675160700078,2012,0.0,0.0,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
WINSTON,562,2016,75.20376070745596,16.89797493720885,233.0,372.0,0.0944031591272877,2016,0.025,0.00625,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
GITA,562,2018,0.0,384.5199332437156,0.0,0.0,0.0,2018,0.0,0.0,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
SARAI,562,2019,25.026510559029788,131.03355400352444,233.0,11.333333333333334,0.0028760819088958,2019,8.733333333333333,5.089583333333333,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
TINO,562,2020,0.0,345.7514563988601,233.0,0.0,0.0,2020,0.15,0.0770833333333333,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
HAROLD,562,2020,32.30284215911521,78.26139088471075,233.0,519.0,0.1317076332985546,2020,3.158333333333333,1.2791666666666666,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
YASA,562,2020,14.158219938073614,201.2291808745121,0.0,0.0,0.0,2020,0.3916666666666666,0.20625,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
ANA,562,2021,20.78037490920268,116.63221530196302,233.0,11.0,0.0027914912645165,2021,6.858333333333333,3.0375,177.05E_-17.65N,76.1,233,562,1,21374.012317247587,0.0,0.0
TOMAS,658,2010,13.221479597596344,264.5659097692146,0.0,0.0,0.0,2010,0.0,0.0,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
EVAN,658,2012,47.37561269589595,34.324589043797964,76.0,437.6666666666667,0.0010108302018018,2012,0.9166666666666666,0.3125,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
WINSTON,658,2016,51.83623394264793,38.09613705411249,76.0,7735.0,0.0178646723783795,2016,0.175,0.0479166666666666,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
GITA,658,2018,0.0,435.4664054067819,0.0,0.0,0.0,2018,0.0,0.0,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
SARAI,658,2019,20.237465708375712,155.11299366857946,76.0,11.333333333333334,2.6175344144145933e-05,2019,6.808333333333334,2.25,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
TINO,658,2020,6.990766301096514,290.6705145392563,76.0,0.0,0.0,2020,0.7749999999999999,0.35,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
HAROLD,658,2020,20.206235949465423,132.7521745036504,76.0,195.0,0.0004503698918919,2020,1.9833333333333332,0.8125,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
YASA,658,2020,19.067984710856884,146.74720378078794,76.0,47.0,0.0001085506918918,2020,1.4333333333333331,0.44375,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
ANA,658,2021,21.95071353581963,60.51862537628832,76.0,248.0,0.0005727781189189,2021,4.433333333333334,2.15625,177.15E_-17.15N,86.0,76,658,1,29712.08111883201,0.0,0.0
TOMAS,659,2010,13.059597949965084,263.548663116654,0.0,0.0,0.0,2010,0.0,0.0,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
EVAN,659,2012,48.74339152181073,27.60421332907252,334.0,437.6666666666667,0.0044423327289713,2012,0.3583333333333333,0.15,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
WINSTON,659,2016,59.488946516918574,26.997379320893437,334.0,7735.0,0.078510533873405,2016,0.3083333333333333,0.0833333333333333,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
GITA,659,2018,0.0,424.6458674156686,0.0,0.0,0.0,2018,0.0,0.0,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
SARAI,659,2019,21.08250811242405,153.356784456438,334.0,11.333333333333334,0.000115033749265,2019,6.308333333333333,2.316666666666667,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
TINO,659,2020,6.72161970893333,300.6893552350329,334.0,0.0,0.0,2020,0.2166666666666666,0.1104166666666666,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
HAROLD,659,2020,21.88244706226195,122.86900771554735,334.0,195.0,0.0019792571564723,2020,1.925,0.74375,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
YASA,659,2020,17.851022060913902,156.5289775701212,334.0,47.0,0.0004770517248933,2020,1.275,0.4145833333333333,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
ANA,659,2021,22.109984987946724,71.01451853918637,334.0,248.0,0.0025172091015648,2021,4.075,2.1333333333333333,177.15E_-17.25N,86.0,334,659,1,34539.391946323485,0.0,0.0
TOMAS,660,2010,12.87570563431857,262.53141646409347,0.0,0.0,0.0,2010,0.0,0.0,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
EVAN,660,2012,48.13107807225772,20.88383761434733,476.0,437.6666666666667,0.0063309891586538,2012,0.1333333333333333,0.0499999999999999,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
WINSTON,660,2016,64.68991924342677,15.89862158767476,476.0,7735.0,0.1118892638435353,2016,0.5583333333333333,0.1479166666666666,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
GITA,660,2018,0.0,413.84066908474296,0.0,0.0,0.0,2018,0.0,0.0,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
SARAI,660,2019,21.971478874541145,151.33313567678218,476.0,11.333333333333334,0.0001639403133238,2019,5.9,2.4625,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
TINO,660,2020,0.0,310.782388305392,476.0,0.0,0.0,2020,0.1999999999999999,0.0770833333333333,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
HAROLD,660,2020,23.773731029606733,112.98584092744468,476.0,195.0,0.0028207377439546,2020,2.058333333333333,0.8229166666666666,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
YASA,660,2020,16.72881744549272,166.44734721034942,476.0,47.0,0.0006798701229018,2020,0.775,0.2125,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
ANA,660,2021,22.16735540877165,81.50292329536326,476.0,248.0,0.0035873997974397,2021,3.933333333333333,2.18125,177.15E_-17.35N,86.0,476,660,1,47631.31908705097,0.0,0.0
TOMAS,663,2010,12.212657513974335,261.1440881566125,0.0,0.0,0.0,2010,0.0083333333333333,0.0020833333333333,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
EVAN,663,2012,51.82596578756072,4.946415295846127,349.0,437.6666666666667,0.1663629317958486,2012,0.0,0.0,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
WINSTON,663,2016,76.58060791550297,17.397651611983207,349.0,372.0,0.1414021568043923,2016,0.025,0.00625,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
GITA,663,2018,0.0,381.5301359190551,0.0,0.0,0.0,2018,0.0,0.0,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
SARAI,663,2019,24.927242019884837,141.66597219982776,349.0,11.333333333333334,0.0043079510137538,2019,6.558333333333334,3.9125,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
TINO,663,2020,0.0,341.4406122127762,349.0,0.0,0.0,2020,0.2416666666666666,0.0916666666666666,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
HAROLD,663,2020,31.200105987858866,83.33634056313485,349.0,519.0,0.1972788155416118,2020,2.5416666666666665,1.0729166666666667,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
YASA,663,2020,14.070388037117889,196.26470876553245,0.0,0.0,0.0,2020,0.325,0.1041666666666666,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
ANA,663,2021,21.747376026231343,108.7638930507435,349.0,11.0,0.0041812465721728,2021,5.741666666666667,2.583333333333333,177.15E_-17.65N,76.1,349,663,1,10718.66492565185,0.0030864197530864,0.0
TOMAS,664,2010,11.961684330686454,261.4702111100648,0.0,0.0,0.0,2010,0.0083333333333333,0.0020833333333333,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
EVAN,664,2012,53.57531099821349,0.8988062442083586,1125.0,437.6666666666667,0.5362701956169905,2012,0.0,0.0,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
WINSTON,664,2016,69.79249705949671,28.496409345202263,1125.0,372.0,0.455809244713299,2016,0.0416666666666666,0.0104166666666666,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
GITA,664,2018,0.0,370.8000648458877,0.0,0.0,0.0,2018,0.0,0.0,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
SARAI,664,2019,26.01558594301701,137.2030461743124,1125.0,11.333333333333334,0.0138866615772868,2019,7.1000000000000005,4.404166666666667,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
TINO,664,2020,0.0,351.7680386240048,1125.0,0.0,0.0,2020,0.2083333333333333,0.0770833333333333,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
HAROLD,664,2020,34.44179071841006,73.48575033549363,1125.0,519.0,0.635927413995167,2020,2.558333333333333,1.14375,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
YASA,664,2020,13.31930801835577,206.20382928392652,0.0,0.0,0.0,2020,0.5,0.1354166666666666,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
ANA,664,2021,21.42680544043282,110.69143527663468,1125.0,11.0,0.0134782303544255,2021,5.783333333333334,2.6041666666666665,177.15E_-17.75N,76.1,1125,664,1,40588.70483074136,4.110339506172839,7.936014041379929
TOMAS,665,2010,11.699288991341808,261.8070221307009,0.0,0.0,0.0,2010,0.0,0.0,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
EVAN,665,2012,52.26813348641928,3.1488028074292678,16.0,437.6666666666667,0.0076269538932194,2012,0.0,0.0,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
WINSTON,665,2016,60.21824352170882,39.595167078420936,16.0,372.0,0.0064826203692558,2016,0.0333333333333333,0.0083333333333333,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
GITA,665,2018,0.0,360.09303765140567,0.0,0.0,0.0,2018,0.0,0.0,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
SARAI,665,2019,27.15662913101731,132.0792192911611,16.0,11.333333333333334,0.0001974991868769,2019,13.125,6.029166666666666,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
TINO,665,2020,0.0,362.141793399385,16.0,0.0,0.0,2020,0.225,0.09375,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
HAROLD,665,2020,38.12997307245843,63.68424082663852,16.0,519.0,0.0090443009990423,2020,2.566666666666667,1.1416666666666668,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
YASA,665,2020,12.617219261106468,216.1429498023203,0.0,0.0,0.0,2020,0.5750000000000001,0.20625,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
ANA,665,2021,21.029083158757626,112.6189775025258,16.0,11.0,0.0001916903872629,2021,6.841666666666668,2.6875,177.15E_-17.85N,76.1,16,665,1,1576.1569694967598,0.1404320987654321,0.7728973487896346
TOMAS,758,2010,14.019520992078574,254.51982467912904,0.0,0.0,0.0,2010,0.0,0.0,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
EVAN,758,2012,48.01861272871273,32.19800764023006,163.0,437.6666666666667,0.0021679647749171,2012,0.4666666666666666,0.1291666666666666,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
WINSTON,758,2016,42.827304668915744,48.6952181125572,163.0,7735.0,0.0383150210220509,2016,0.15,0.0375,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
GITA,758,2018,0.0,444.0059253154884,0.0,0.0,0.0,2018,0.0,0.0,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
SARAI,758,2019,19.347998935146688,167.83951870129678,163.0,11.333333333333334,5.613922494073405e-05,2019,5.283333333333333,2.00625,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
TINO,758,2020,7.440556450714301,275.85495855553273,163.0,0.0,0.0,2020,1.5833333333333333,0.625,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
HAROLD,758,2020,18.37661741545839,147.71029097017748,163.0,195.0,0.0009659248997155,2020,1.6749999999999998,0.7395833333333334,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
YASA,758,2020,21.151074828716787,131.68998247949693,163.0,47.0,0.0002328126681365,2020,1.5666666666666669,0.61875,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
ANA,758,2021,22.706970588647405,46.37363128876462,163.0,248.0,0.0012284583339972,2021,4.341666666666667,2.0395833333333333,177.25E_-17.05N,86.0,163,758,1,42090.75975067377,0.0,0.0
TOMAS,759,2010,13.867031698118716,253.50257802656853,0.0,0.0,0.0,2010,0.0,0.0,177.25E_-17.15N,86.0,755,759,1,57019.3406746135,0.0,0.0
EVAN,759,2012,48.61425358566037,25.477631925504625,755.0,437.6666666666667,0.010041800031058,2012,0.5916666666666667,0.15625,177.25E_-17.15N,86.0,755,759,1,57019.3406746135,0.0,0.0
