id,ADM1_FR,ADM1_PCODE,ADM1_EN,ADM2_EN,ADM2_PCODE
987,ARTIBONITE,HT05,Artibonite,SAINT-MARC,HT0531
1110,ARTIBONITE,HT05,Artibonite,SAINT-MICHEL DE L'ATTALAYE,HT0551
362,GRANDE'ANSE,HT08,Grande'Anse,JEREMIE,HT0811
769,NORD-OUEST,HT09,North-West,JEAN RABEL,HT0934
1198,CENTRE,HT06,Centre,BOUCAN CARRE,HT0623
982,ARTIBONITE,HT05,Artibonite,GONAIVES,HT0511
855,ARTIBONITE,HT05,Artibonite,ANSE ROUGE,HT0523
1282,CENTRE,HT06,Centre,THOMONDE,HT0613
533,SUD,HT07,South,LES CAYES,HT0711
1027,ARTIBONITE,HT05,Artibonite,DESSALINES,HT0541
868,OUEST,HT01,West,PETIT-GOAVE,HT0122
952,OUEST,HT01,West,GRAND-GOAVE,HT0123
785,SUD,HT07,South,AQUIN,HT0731
1280,CENTRE,HT06,Centre,HINCHE,HT0611
983,ARTIBONITE,HT05,Artibonite,GONAIVES,HT0511
1238,CENTRE,HT06,Centre,HINCHE,HT0611
1244,OUEST,HT01,West,GANTHIER,HT0133
853,NORD-OUEST,HT09,North-West,PORT-DE-PAIX,HT0911
363,GRANDE'ANSE,HT08,Grande'Anse,JEREMIE,HT0811
1113,ARTIBONITE,HT05,Artibonite,PETITE RIVIERE DE L'ARTIBONITE,HT0542
574,SUD,HT07,South,CAVAILLON,HT0733
1201,OUEST,HT01,West,THOMAZEAU,HT0132
1330,OUEST,HT01,West,FONDS-VERRETTES,HT0135
869,SUD-EST,HT02,South-East,COTES DE FER,HT0222
1325,CENTRE,HT06,Centre,BELLADERE,HT0632
986,ARTIBONITE,HT05,Artibonite,SAINT-MARC,HT0531
1364,CENTRE,HT06,Centre,CERCA LA SOURCE,HT0641
811,NORD-OUEST,HT09,North-West,JEAN RABEL,HT0934
1287,OUEST,HT01,West,GANTHIER,HT0133
489,GRANDE'ANSE,HT08,Grande'Anse,PESTEL,HT0834
1323,CENTRE,HT06,Centre,THOMASSIQUE,HT0642
1037,SUD-EST,HT02,South-East,JACMEL,HT0211
1031,OUEST,HT01,West,ARCAHAIE,HT0141
1192,NORD,HT03,North,GRANDE RIVIERE DU NORD,HT0331
938,ARTIBONITE,HT05,Artibonite,GROS MORNE,HT0521
1025,ARTIBONITE,HT05,Artibonite,GONAIVES,HT0511
1196,CENTRE,HT06,Centre,MAISSADE,HT0612
1078,SUD-EST,HT02,South-East,JACMEL,HT0211
1237,CENTRE,HT06,Centre,HINCHE,HT0611
1245,OUEST,HT01,West,GANTHIER,HT0133
1068,ARTIBONITE,HT05,Artibonite,SAINT-MICHEL DE L'ATTALAYE,HT0551
945,ARTIBONITE,HT05,Artibonite,SAINT-MARC,HT0531
